ElectDist,mhhi21,Construction,Manufacturing,Wholesale Trade,Retail Trade,Transportation and Warehousing,Information,Finance and Insurance,Real Estate and Rental and Leasing,"Professional, Scientific, and Technical Services",Management of Companies and Enterprises,Administrative and Support and Waste Management and Remediation Services,Educational Services,Health Care and Social Assistance,"Arts, Entertainment, and Recreation",Accommodation and Food Services,Other Services [except Public Administration],Public Administration,h21p,nha21p,nhb21p,nhw21p,cvap21bapp,cluster
59028,150351.44708637393,3.6675286375512672,2.516683500691497,3.3537423853588835,11.829641685489111,5.729080894900746,3.070421236952102,4.775633019516681,2.3957268294256733,5.477665136137266,1.4574119708208733,7.098474893904738,3.507032786465714,31.11584812857499,1.582620699465349,7.554519531757358,4.233656418105617,0.0028586497889505,14.85722689582644,1.7852528091994055,71.54236492678123,8.411286194315682,30.872305716108844,5
59029,154837.20620230632,4.230592361702906,2.544280194514596,3.667106878081596,12.568640512434373,4.928046378935686,3.455821460415649,5.6851583324120325,2.6794635337909813,6.229710309605607,1.5387384588167663,6.644742858144043,3.6701521388462246,27.46303659058728,1.902780810380889,7.42437600069705,4.684734507396694,0.0,9.865282217461504,7.340732404165613,55.80153159197462,23.555433385041187,31.844713161278477,5
59030,113163.6126625097,3.819421917760008,2.360750787591151,3.3712178540105704,12.402654310245907,6.416660866658109,2.8905541766041085,5.011566886943915,2.491795022558445,5.65596356765707,1.4353869279361526,7.217755364415807,3.0898862004911307,29.666176894897887,1.7113565852310404,7.258086754080535,4.424253732973748,0.0,11.164889068104737,3.8245228160156346,74.3340204426647,7.808272235924547,33.7775789558697,5
59031,65877.72664463222,4.304048758117049,2.84234645236544,3.683639635593344,12.029598183331132,5.880119651808922,3.351806183597931,4.972602495575513,2.6047323467982104,6.371190022031373,1.5292410028629464,5.960380427620729,4.003092977029147,27.169580992079236,2.030338738593684,7.532797230470881,4.945866384339154,0.0,13.621794876397503,14.262820523498627,49.83974361289485,18.05555559550644,41.470811248569234,5
59032,58005.37077807293,3.602125175795393,2.73304457612438,3.6011187825417927,12.30828561604655,5.3783298201297605,2.954183365514774,5.511646846423901,2.402924342856497,6.1172687967695305,1.4416091885070952,6.572314669542325,3.5484357050998674,29.60016173996968,1.7689374572102907,7.579914987459301,4.382350790741328,0.0,7.844472908254167,12.975917467269566,53.50054851163641,22.744217184133607,40.61535664120124,5
59033,150065.94882685036,4.701437532381266,2.482155205527445,4.1222110106504175,12.128794534589709,4.851609626359097,3.803598790176783,6.273743782857789,2.624255594469783,7.189771342381599,1.525031032251896,6.111580303939864,4.116531833016862,25.14119518256386,1.9806655905798145,7.584187845671544,4.4854355356109705,0.0,10.441160435160748,11.452258056998597,31.04936058176122,44.216756761570416,34.86845005524442,0
59034,88862.53809662533,4.760311741211187,2.4750383196606136,4.504297038643758,11.364206190116407,3.9678413374594586,3.980094137278854,8.095589681915547,2.80746731502958,8.61669878153016,1.4826876782044476,5.1638213271819815,4.508297538698892,23.426193286592383,2.037935996182868,7.150799029436566,4.779107108765063,0.0,8.79186812735723,7.741079862964082,12.050228815703882,70.52808149911202,46.22186879167237,0
59035,210402.83113752375,5.490312799173179,4.144593995457797,5.545675644155089,14.377551642200624,4.220607330805335,2.9827923154808245,5.013565237960341,3.165276451009348,6.97899122461634,1.001782103833483,5.257655007651279,3.773259151685081,21.886405914077088,1.4750019918215012,8.884747896572538,5.309065150522395,0.0,11.093465044112731,11.876495674905891,12.434215186866686,62.59330435240102,31.37985696848385,0
59036,174919.9983631439,4.674129845773001,2.471219936825034,4.110045844782222,12.058433976292276,4.913072417917835,3.7976969544315793,6.290904435403553,2.61463669600161,7.191552151501349,1.5308295282055335,6.131664120673207,4.100387023820254,25.240091656417317,1.9688549809685056,7.557861347177092,4.47610187379997,0.0,10.410472805002971,11.659383582188674,31.837328728170828,43.41998825980893,35.04025313722575,0
59037,94932.31711376444,4.97043041608835,3.117029278164391,4.670106088904187,11.152600177340442,3.5793330078475987,4.714925323695964,7.848419834205536,2.9690700611204632,8.91826211271029,1.546069516403071,5.262108719314403,4.49000912660748,21.771258477662236,2.116666923731556,6.945084932671246,5.028542645435114,0.0,9.662508224288889,28.55012142412494,2.673909634789505e-06,60.67302224774118,50.23812082788317,0
59038,207462.28492319584,4.572756983241574,2.5520390430945543,3.938932924003008,12.179265165422086,5.389847420639073,3.7280956515375023,5.690332630866324,2.6049936592275857,6.89702734573627,1.4301486250732385,6.35072238189213,3.9806562346350303,25.847973614617057,1.818960596936395,7.66479396473594,4.4847373398854735,0.0,10.002819241896594,10.022389547099218,36.9036746442886,37.15890252008664,32.87723019936012,5
59039,111766.4625190136,5.593678306464976,3.0035523203121977,4.580636900743472,11.905822282899848,3.73883281299734,3.709917678344752,6.214072245749933,2.692037642246703,8.389247043094208,1.367622946038124,5.376242366426858,4.039435056792278,22.909959421417625,1.871277666443552,8.494325275457909,5.033933659154549,0.0,11.799340601618075,15.39704458332698,7.486883676165251,61.46648756061818,35.25856242608484,0
59041,15389.148424370584,3.076904088638224,2.640030399937013,3.1596664362447617,13.280878797055935,6.5181901905565125,2.891348419029409,3.9686525657945015,2.575822135149303,4.488624813883355,1.4059114529762466,8.468258118234239,3.4217807648175182,29.14333599969364,1.9052692090877263,8.256210133691278,4.302210071180946,0.0,19.45276540981808,1.790749619656075e-07,76.65650981117892,1.3450584242051902,18.927960709752945,5
